FileName,Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index
job_A3_00_B_51_00_C2_00_D1_00.odb,-4.31,0.907,4.13,0.1364,0.448,7.8181,711.5987,2.7728
job_A3_00_B_54_00_C2_00_D1_00.odb,-4.192,0.928,3.853,0.1403,0.4623,8.1702,689.5583,2.8951
job_A3_00_B_57_00_C2_00_D1_00.odb,-4.111,0.942,3.833,0.1415,0.4695,8.1104,678.9935,2.878
job_A4_00_B_30_00_C2_00_D1_00.odb,-12.069,0.716,4.53,0.142,0.3613,8.0991,882.3421,2.8388
job_A4_00_B_30_00_C2_00_D3_00.odb,-9.986,1.238,6.293,0.1254,0.2631,5.9173,1211.6926,2.0809
job_A4_00_B_30_00_C3_00_D1_00.odb,-15.575,1.424,6.287,0.1273,0.2264,6.2622,1407.962,2.1833
job_A4_00_B_33_00_C2_00_D1_00.odb,-12.01,0.734,4.56,0.1409,0.3469,7.9962,918.8304,2.7997
job_A4_00_B_33_00_C2_00_D3_00.odb,-10.34,1.303,7.352,0.1264,0.2506,5.0643,1271.9642,1.7956
job_A4_00_B_33_00_C3_00_D1_00.odb,-15.428,1.55,6.222,0.1304,0.2134,6.3001,1493.5625,2.1925
job_A4_00_B_36_00_C2_00_D1_00.odb,-11.406,0.765,4.654,0.1426,0.3352,7.7565,950.9181,2.7173
job_A4_00_B_36_00_C2_00_D3_00.odb,-9.758,1.259,6.56,0.1241,0.2606,5.6174,1223.1792,1.9807
job_A4_00_B_36_00_C3_00_D1_00.odb,-16.042,1.621,6.73,0.1299,0.206,5.8004,1547.8195,2.025
